brand,model,capacity,speed,type,rating,price_idr,suitable
Corsair,Vengeance LPX 16GB (2x8GB) DDR4-3200,16GB,3200 MHz,DDR4,4.7,1079000,Mid-range build
G.Skill,Ripjaws V 16GB (2x8GB) DDR4-3600,16GB,3600 MHz,DDR4,4.8,550001,Mid-range gaming
Kingston,Fury Beast 16GB (2x8GB) DDR4-3600,16GB,3600 MHz,DDR4,4.8,854000,Mid-range Intel/AMD
Team T-Force,Delta RGB 32GB (2x16GB) DDR4-3600,32GB,3600 MHz,DDR4,4.8,1544000,High-end multitasking
Corsair,Vengeance RGB Pro 32GB (2x16GB) DDR4-3600,32GB,3600 MHz,DDR4,4.9,1544000,High-end RGB setup
G.Skill,Trident Z RGB 32GB (2x16GB) DDR4-4000,32GB,4000 MHz,DDR4,4.9,2850000,Enthusiast DDR4 setup
Corsair,Vengeance DDR5 32GB (2x16GB) 5200 MHz,32GB,5200 MHz,DDR5,4.9,2650000,High-end DDR5 build
Kingston,Fury Beast DDR5 32GB (2x16GB) 5600 MHz,32GB,5600 MHz,DDR5,4.9,1999000,DDR5 gaming setup
G.Skill,Trident Z5 RGB 32GB (2x16GB) DDR5-6000,32GB,6000 MHz,DDR5,5,3500000,Premium DDR5 system
Corsair,Dominator Platinum RGB 64GB (2x32GB) DDR5-6000,64GB,6000 MHz,DDR5,5,4749000,Workstation & content creation
